Nom premier hôtel,Phone number,Google maps link,Adresse
OMO5 Tokyo Gotanda by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=1597647237912251922,"8-chōme-4-13 Nishigotanda, Shinagawa City, Tokyo 141-0031, Japan"
Hotel Niwa Tokyo,03-3293-0028,https://maps.google.com/?cid=4427002971880532456,"Japan, 〒101-0061 Tokyo, Chiyoda City, Misakichō, 1-chōme−1−１６ 1F"
Villa Fontaine Grand Osaka-Umeda,06-6360-7531,https://maps.google.com/?cid=1591024647832481086,"2-chōme-15-15番９号 Sonezaki, Kita Ward, Osaka, 530-0057, Japan"
Hotel Century Southern Tower,03-5354-0111,https://maps.google.com/?cid=14431332047679942614,"2-chōme-2-1 Yoyogi, Shibuya, Tokyo 151-8583, Japan"
Henn na Hotel Tokyo Asakusa Tawaramachi Premier,050-5210-5250,https://maps.google.com/?cid=10538945063344366281,"Japan, 〒111-0042 Tokyo, Taito City, Kotobuki, 3-chōme−19−８ シンエイ本社ビル"
ALFIT HOTEL & BAR AKASAKA,03-6441-0471,https://maps.google.com/?cid=6478595990477969253,"2-chōme-14-34 Akasaka, Minato City, Tokyo 107-0052, Japan"
Hotel Rose Garden Shinjuku,03-3360-1533,https://maps.google.com/?cid=2481482730927510866,"8-chōme-1-3 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
Park Hotel Tokyo,03-6252-1111,https://maps.google.com/?cid=185463130339643607,"Japan, 〒105-7227 Tokyo, Minato City, Higashishinbashi, 1-chōme−7−１ 汐留メディアタワー フロント 25F"
Grand Prince Hotel Osaka Bay,06-6612-1234,https://maps.google.com/?cid=9919744955643425465,"1-chōme-13-11 Nankōkita, Suminoe Ward, Osaka, 559-0034, Japan"
Nohga Hotel Akihabara Tokyo,03-6206-0569,https://maps.google.com/?cid=2617484077686734972,"3-chōme-10-11 Sotokanda, Chiyoda City, Tokyo 101-0021, Japan"
Swissôtel Nankai Osaka,06-6646-1111,https://maps.google.com/?cid=5181044893444391229,"5-chōme-1-60 Namba, Chuo Ward, Osaka, 542-0076, Japan"
Prostyle Ryokan Asakusa,03-5830-6015,https://maps.google.com/?cid=14474534096816434010,"Japan, 〒111-0033 Tokyo, Taito City, Hanakawado, 2-chōme−12−１１ Prostyle 旅館 東京浅草"
The Prince Park Tower Tokyo,03-5400-1111,https://maps.google.com/?cid=16935356292708963318,"Japan, 〒105-8563 Tokyo, Minato City, Shibakōen, 4-chōme−8−１ ザ・プリンス パークタワー東京"
Nishitetsu Inn Shinjuku,03-3367-5454,https://maps.google.com/?cid=378136885016254674,"7-chōme-23-2 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
Shiba Park Hotel,03-3433-4141,https://maps.google.com/?cid=16011219555726224008,"1-chōme-5-10 Shibakōen, Minato City, Tokyo 105-0011, Japan"
Zentis Osaka,06-4796-0111,https://maps.google.com/?cid=3268535993116507316,"Japan, 〒530-0004 Osaka, Kita Ward, Dōjimahama, 1-chōme−4−２６ Zentis Osaka"
Tsukikusa-an Machiya,050-3786-2009,https://maps.google.com/?cid=1854018695548451429,"440-8 Nishigomonchō, Higashiyama Ward, Kyoto, 605-0816, Japan"
Keio Prelia Hotel Kyoto Karasuma Gojo,075-352-5111,https://maps.google.com/?cid=9403573151853628145,"Japan, 〒600-8418 Kyoto, Shimogyo Ward, Gojōkarasumachō, ３９６ 京王プレリアホテル 1F"
Minn Asakusa Kappabashi,050-3188-1063,https://maps.google.com/?cid=2972175821443067641,"3-chōme-25-13 Nishiasakusa, Taito City, Tokyo 111-0035, Japan"
Citadines Namba Osaka,06-6695-7150,https://maps.google.com/?cid=2884774261130713554,"3-chōme-5-25 Nipponbashi, Naniwa Ward, Osaka, 556-0005, Japan"
MIMARU SUITES Tokyo Asakusa,03-6284-7566,https://maps.google.com/?cid=2621543742583962932,"1-chōme-10-13 Hanakawado, Taito City, Tokyo 111-0033, Japan"
Richmond Hotel Premier Tokyo Schole,03-5819-0731,https://maps.google.com/?cid=8768294694407101051,"1-chōme-10-3 Oshiage, Sumida City, Tokyo 131-0045, Japan"
"Mandarin Oriental, Tokyo",03-3270-8800,https://maps.google.com/?cid=4801803014329312353,"2-chōme-1-1 Nihonbashimuromachi, Chuo City, Tokyo 103-8328, Japan"
"The Ritz-Carlton, Osaka",06-6343-7000,https://maps.google.com/?cid=12999871427497016376,"2-chōme-5-25 Umeda, Kita Ward, Osaka, 530-0001, Japan"
GRIDS PREMIUM HOTEL OSAKA NAMBA,06-6641-5801,https://maps.google.com/?cid=569538214132908498,"1-chōme-7-7 Nanbanaka, Naniwa Ward, Osaka, 556-0011, Japan"
Patina Osaka パティーナ大阪,06-6941-8888,https://maps.google.com/?cid=1397153970431032509,"Japan, 〒540-0007 Osaka, Chuo Ward, Banbachō, 3−９１ パティーナ大阪"
Tobu Hotel Levant Tokyo,03-5611-5511,https://maps.google.com/?cid=14691111521275940280,"1-chōme-2-2 Kinshi, Sumida City, Tokyo 130-0013, Japan"
Hakone Kowakien Ten-yu,0465-20-0260,https://maps.google.com/?cid=10776354191264277083,"1297 Ninotaira, Hakone, Ashigarashimo District, Kanagawa 250-0407, Japan"
Hotel Hankyu Gran Respire Osaka,06-6372-8506,https://maps.google.com/?cid=14606643419894988792,"Japan, 〒530-0011 Osaka, Kita Ward, Ōfukachō, ５番５４ グラングリーン大阪 南館"
Hotel Villa Fontaine Ueno,03-5833-5550,https://maps.google.com/?cid=2610998773126984821,"2-chōme-4-4 Kojima, Taito City, Tokyo 111-0056, Japan"
the b shimbashi,03-3501-2500,https://maps.google.com/?cid=2234418413128536570,"1-chōme-17-13 Nishishinbashi, Minato City, Tokyo 105-0003, Japan"
illi Com Shimokitazawa,050-1720-7210,https://maps.google.com/?cid=13698361113801620901,"Japan, 〒155-0031 Tokyo, Setagaya City, Kitazawa, 2-chōme−15−１７ 4F-5F"
Mitsui Garden Hotel Shiodome Italia-gai,03-3431-1131,https://maps.google.com/?cid=15320153407470467081,"Japan, 〒105-0021 Tokyo, Minato City, Higashishinbashi, 2-chōme−14−２４ 三井ガーデンホテル汐留イタリア街 1階"
The Peninsula Tokyo,03-6270-2888,https://maps.google.com/?cid=12363285878359966179,"1-chōme-8-1 Yūrakuchō, Chiyoda City, Tokyo 100-0006, Japan"
Hilton Osaka,06-6347-7111,https://maps.google.com/?cid=12814768805384323866,"1-chōme-8-8 Umeda, Kita Ward, Osaka, 530-0001, Japan"
The Okura Tokyo,03-3582-0111,https://maps.google.com/?cid=3528441622244778882,"2-chōme-10-4 Toranomon, Minato City, Tokyo 105-0001, Japan"
Shinjuku Washington Hotel ANNEX,03-3343-3111,https://maps.google.com/?cid=578178371376921390,"3-chōme-2-9 Nishishinjuku, Shinjuku City, Tokyo 160-8336, Japan"
Sotetsu Fresa Inn Shimbashi Hibiyaguchi,03-5157-2031,https://maps.google.com/?cid=2164133458119962353,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 1-chōme−14−３ 相鉄フレッサイン新橋 日比谷口2F"
The Capitol Hotel Tokyu,03-3503-0109,https://maps.google.com/?cid=18324205522351951820,"2-chōme-10-3 Nagatachō, Chiyoda City, Tokyo 100-0014, Japan"
Cross Hotel Osaka,06-6213-8281,https://maps.google.com/?cid=14281617034206022174,"2-chōme-5-15 Shinsaibashisuji, Chuo Ward, Osaka, 542-0085, Japan"
JR KYUSHU HOTEL Blossom Shinjuku,03-5333-8687,https://maps.google.com/?cid=8478747531044151851,"Japan, 〒151-0053 Tokyo, Shibuya, Yoyogi, 2-chōme−6−２ ＪＲ九州ホテルブラッサム新宿 １階"
RIHGA Royal Hotel Hiroshima,082-502-1121,https://maps.google.com/?cid=2793274772327511974,"6-78 Motomachi, Naka Ward, Hiroshima, 730-0011, Japan"
&Here TOKYO UENO,03-6240-1161,https://maps.google.com/?cid=9893200600166641858,"2-chōme-11-18 Ueno, Taito City, Tokyo 110-0005, Japan"
Tosei Hotel Cocone Asakusa Kuramae,03-3842-5541,https://maps.google.com/?cid=4969002095466174917,"2-chōme-3-3 Komagata, Taito City, Tokyo 111-0043, Japan"
NOHGA HOTEL UENO TOKYO,03-5816-0211,https://maps.google.com/?cid=13582207158481703769,"2-chōme-21-10 Higashiueno, Taito City, Tokyo 110-0015, Japan"
Shibuya Excel Hotel Tokyu,03-5457-0109,https://maps.google.com/?cid=18345569282918056042,"1-chōme-12-2 Dōgenzaka, Shibuya, Tokyo 150-0043, Japan"
the b ikebukuro,03-3980-1911,https://maps.google.com/?cid=9370746503280081282,"1-chōme-39-4 Higashiikebukuro, Toshima City, Tokyo 170-0013, Japan"
Mitsui Garden Hotel Jingugaien Tokyo PREMIER,03-5786-1531,https://maps.google.com/?cid=6116133225787996199,"11-3 Kasumigaokamachi, Shinjuku City, Tokyo 160-0013, Japan"
Nest Hotel Tokyo Hanzomon,03-6261-4022,https://maps.google.com/?cid=858057309655917251,"2-18 Hayabusachō, Chiyoda City, Tokyo 102-0092, Japan"
The Royal Park Hotel Iconic Osaka-Midosuji,06-4707-1111,https://maps.google.com/?cid=5573842255134121516,"Japan, 〒541-0046 Osaka, Chuo Ward, Hiranomachi, 4-chōme−2−３ 15F"
Hotel Keihan Asakusa,03-5830-0321,https://maps.google.com/?cid=14025352532828714057,"2-chōme-12-4 Asakusa, Taito City, Tokyo 111-0032, Japan"
Candeo Hotels Osaka Shinsaibashi,06-6926-8633,https://maps.google.com/?cid=6634114183801771927,"2-chōme-7-12 Shinsaibashisuji, Chuo Ward, Osaka, 542-0085, Japan"
Keio Plaza Hotel Sapporo,011-271-0111,https://maps.google.com/?cid=5681110938072784523,"7-chōme-２番地１ Kita 5 Jōnishi, Chuo Ward, Sapporo, Hokkaido 060-0005, Japan"
Hundred Stay,,https://maps.google.com/?cid=17760845236987718603,"Hundred Stay, 2-chōme-27-7 Hyakuninchō, Shinjuku City, Tokyo 169-0073, Japan"
Hotel Gracery Shinjuku,03-6833-1111,https://maps.google.com/?cid=11364248213360716905,"1-chōme-19-1 Kabukichō, Shinjuku City, Tokyo 160-8466, Japan"
Hotel Resol Stay Akihabara,03-3252-9269,https://maps.google.com/?cid=6783905293826111250,"2-chōme-17-10 Kanda Sudachō, Chiyoda City, Tokyo 101-0041, Japan"
Oriental Hotel Fukuoka Hakata Station,092-461-0170,https://maps.google.com/?cid=14768126831290939589,"4-23 Hakataekichūōgai, Hakata Ward, Fukuoka, 812-0012, Japan"
Sunshine City Prince Hotel,03-3988-1111,https://maps.google.com/?cid=9080942687599635468,"3-chōme-1-5 Higashiikebukuro, Toshima City, Tokyo 170-0013, Japan"
PLAYSIS EAST TOKYO,03-6658-4800,https://maps.google.com/?cid=17322576924311347965,"2-chōme-11-1 Azumabashi, Sumida City, Tokyo 130-0001, Japan"
Hotel Gracery Ginza,03-6686-1000,https://maps.google.com/?cid=16059974753036982713,"フロント, ３F, 7-chōme-10-1 Ginza, Chuo City, Tokyo 104-0061, Japan"
APA Hotel Nihombashi Bakuroyokoyama Ekimae,0570-038-511,https://maps.google.com/?cid=674772141847335612,"5-6 Nihonbashiyokoyamachō, Chuo City, Tokyo 103-0003, Japan"
Hotel Musse Ginza Meitetsu,03-3541-3535,https://maps.google.com/?cid=5857080470628310034,"7-chōme-12-9 Ginza, Chuo City, Tokyo 104-0061, Japan"
karaksa hotel colors Tokyo Yaesu,03-6880-6602,https://maps.google.com/?cid=4011957947109836630,"3-chōme-5-13 Nihonbashi, Chuo City, Tokyo 103-0027, Japan"
Hotel Intergate Kyoto Shijo Shinmachi,075-255-2221,https://maps.google.com/?cid=14009570186202493898,"387 Mukadeyachō, Nakagyo Ward, Kyoto, 604-8214, Japan"
Hotel Resol Ueno,03-3844-9269,https://maps.google.com/?cid=12822629159341960454,"7-chōme-2-9 Ueno, Taito City, Tokyo 110-0005, Japan"
STRATA Naha,098-860-7400,https://maps.google.com/?cid=12430817265158853698,"Japan, 〒900-0013 Okinawa, Naha, Makishi, 1-chōme−19−８ ホテルストレータ那覇"
Conrad Osaka,06-6222-0111,https://maps.google.com/?cid=10561270487337634692,"3-chōme-2-4 Nakanoshima, Kita Ward, Osaka, 530-0005, Japan"
Folio Sakura Shinsaibashi Osaka by Banyan Group,06-4963-2111,https://maps.google.com/?cid=4448061011499490593,"2-chōme-7-28 Minamisenba, Chuo Ward, Osaka, 542-0081, Japan"
Holiday Inn Kyoto Gojo by IHG,075-365-5111,https://maps.google.com/?cid=13747302399279695145,"179 Higashikazariyachō, Shimogyo Ward, Kyoto, 600-8107, Japan"
hotel MONday Asakusa,03-5830-8530,https://maps.google.com/?cid=6181019442301054108,"2-chōme-26-7 Asakusa, Taito City, Tokyo 111-0032, Japan"
Hotel Resol Ikebukuro,03-3985-9269,https://maps.google.com/?cid=16305181501711301753,"2-chōme-30-14 Minamiikebukuro, Toshima City, Tokyo 171-0022, Japan"
Fuji Kawaguchiko Resort Hotel,0555-73-3888,https://maps.google.com/?cid=11030311402166768932,"4902-2 Funatsu, Fujikawaguchiko, Minamitsuru District, Yamanashi 401-0301, Japan"
Mercure Kyoto Station,075-343-5533,https://maps.google.com/?cid=4287354066790349493,"288 Aburanokōjichō, Shimogyo Ward, Kyoto, 600-8231, Japan"
The Celestine Hotel Gion,075-532-3111,https://maps.google.com/?cid=5661629876227635659,"572 Komatsuchō, Higashiyama Ward, Kyoto, 605-0811, Japan"
Richmond Hotel Namba Daikokucho,06-6647-0055,https://maps.google.com/?cid=2715927112112380988,"1-chōme-8-31 Shikitsuhigashi, Naniwa Ward, Osaka, 556-0012, Japan"
Tamayura Hotel Asakusa,03-6802-7277,https://maps.google.com/?cid=16276623316721420701,"2-chōme-6-8 Komagata, Taito City, Tokyo 111-0043, Japan"
Hotel Ann Asakusa,03-5246-4407,https://maps.google.com/?cid=1229714422798925522,"2-chōme-10-6 Nishiasakusa, Taito City, Tokyo 111-0035, Japan"
OMO3 Asakusa by Hoshino Resorts,050-3134-8095,https://maps.google.com/?cid=16430815426086328946,"1-chōme-15-5 Hanakawado, Taito City, Tokyo 111-0033, Japan"
1899 Hotel,03-3432-1899,https://maps.google.com/?cid=9202266622527862749,"6-chōme-4-1 Shinbashi, Minato City, Tokyo 105-0004, Japan"
The Royal Park Canvas Osaka Kitahama,06-6220-1111,https://maps.google.com/?cid=6543990710798281602,"Japan, 〒541-0041 Osaka, Chuo Ward, Kitahama, 1-chōme−9−８ ｻﾞ･ﾛｲﾔﾙﾊﾟｰｸｷｬﾝﾊﾟｽ大阪北浜 1F"
Mercure Tokyu Stay Osaka Namba,06-6214-0109,https://maps.google.com/?cid=18000379915446391943,"2-chōme-2-4 Nishishinsaibashi, Chuo Ward, Osaka, 542-0086, Japan"
TOKYU STAY Fukuoka-Tenjin,092-762-0109,https://maps.google.com/?cid=15212356235943574999,"3-chōme-21-24 Haruyoshi, Chuo Ward, Fukuoka, 810-0003, Japan"
SOLARIA HOTEL KYOTO PREMIER,075-708-5757,https://maps.google.com/?cid=17115921815395863101,"Japan, 〒604-8001 Kyoto, Nakagyo Ward, Kamiōsakachō, ５０９番地"
ANA Crowne Plaza Matsuyama by IHG,089-933-5511,https://maps.google.com/?cid=6641554347393664152,"3-chōme-2-1 Ichibanchō, Matsuyama, Ehime 790-8520, Japan"
Hotel Sunroute Plaza Shinjuku,03-3375-3211,https://maps.google.com/?cid=17336541066380155223,"2-chōme-3-1 Yoyogi, Shibuya, Tokyo 151-0053, Japan"
KAIKA Tokyo by The Share Hotels,03-3625-2165,https://maps.google.com/?cid=4029986385367761378,"2-chōme-16-5 Honjo, Sumida City, Tokyo 130-0004, Japan"
InterContinental Osaka by IHG,06-6374-5700,https://maps.google.com/?cid=18311635378805131458,"3-3-60 Ōfukachō, Kita Ward, Osaka, 530-0011, Japan"
BON Condominium Umeda,050-1808-3496,https://maps.google.com/?cid=8067112486145635284,"3-chōme-1-4 Nakazakinishi, Kita Ward, Osaka, 530-0015, Japan"
Akasaka Granbell Hotel,03-5575-7130,https://maps.google.com/?cid=44235230812524145,"3-chōme-10-9 Akasaka, Minato City, Tokyo 107-0052, Japan"
Sotetsu Fresa Inn Kyoto Shijo Karasuma,075-284-2031,https://maps.google.com/?cid=12334816686044898240,"160 Dōjishachō, Shimogyo Ward, Kyoto, 600-8421, Japan"
Dusit Thani Kyoto,075-343-7150,https://maps.google.com/?cid=6637847254253158794,"466 Nishinotōinchō, Shimogyo Ward, Kyoto, 600-8327, Japan"
Edo Sakura,03-5808-1730,https://maps.google.com/?cid=14328651113843720319,"3-chōme-2-13 Shitaya, Taito City, Tokyo 110-0004, Japan"
the b asakusa,03-6284-7057,https://maps.google.com/?cid=8349917810121911820,"3-chōme-16-12 Nishiasakusa, Taito City, Tokyo 111-0035, Japan"
Agora Kyoto Karasuma,075-353-1118,https://maps.google.com/?cid=1174228949282520233,"701-1 Myōdenjichō, Shimogyo Ward, Kyoto, 600-8472, Japan"
Sotetsu Fresa Inn Osaka-Shinsaibashi,06-7711-8203,https://maps.google.com/?cid=15268922662784536168,"1-chōme-12-23 Higashishinsaibashi, Chuo Ward, Osaka, 542-0083, Japan"
APA Hotel Shinjuku Gyoemmae,,https://maps.google.com/?cid=2338672678644461600,"2-chōme-2-8 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan"
CANDEO HOTELS Hiroshima Hatchobori,082-511-1300,https://maps.google.com/?cid=16294118784322024507,"14-1 Hatchōbori, Naka Ward, Hiroshima, 730-0013, Japan"
Hotel New Otani Tokyo The Main,03-3265-1111,https://maps.google.com/?cid=17634234249071680725,"4-1 Kioichō, Chiyoda City, Tokyo 102-8578, Japan"
Washington Hotel Kansai Airport,072-461-2222,https://maps.google.com/?cid=1070941223550663047,"Japan, 〒598-8522 Osaka, Izumisano, Rinkūōraikita, １−７"
Hotel Resol Trinity Hakata,092-282-9269,https://maps.google.com/?cid=3213422448484290220,"4-chōme-4-10 Nakasu, Hakata Ward, Fukuoka, 810-0801, Japan"
Luxury hotel SOWAKA,075-541-5323,https://maps.google.com/?cid=3046628050993449764,"480 Kiyoichō, Higashiyama Ward, Kyoto, 605-0821, Japan"
the b Osaka-Shinsekai,06-6630-7535,https://maps.google.com/?cid=13929364641286954527,"2-chōme-1-24 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan"
Noku Osaka,06-6351-2800,https://maps.google.com/?cid=434341992106689214,"2-chōme-10-13 Tenma, Kita Ward, Osaka, 530-0043, Japan"
APA Hotel Ginza Kyobashi minami,0570-042-911,https://maps.google.com/?cid=17947424755442990987,"3-chōme-11-2 Kyōbashi, Chuo City, Tokyo 104-0031, Japan"
Hotel New Wakasa,0742-23-5858,https://maps.google.com/?cid=5371431527843350896,"Hotel New Wakasa, 1-3-1 Kitahanda Higashimachi, Nara, 630-8274, Japan"
Piazza Hotel Nara,0742-30-2200,https://maps.google.com/?cid=17927934194790745137,"11-11-20 Sanjōhonmachi, Nara, 630-8122, Japan"
Vessel Inn Namba,06-6211-7071,https://maps.google.com/?cid=7156638348432096351,"2-chōme-2-18 Dōtonbori, Chuo Ward, Osaka, 542-0071, Japan"
La Tour Mejiro Otomeyama,0120-041-256,https://maps.google.com/?cid=10709067936444113871,"2-chōme-13-22 Shimoochiai, Shinjuku City, Tokyo 161-0033, Japan"
HOTEL RESOL TRINITY OSAKA,06-6229-9269,https://maps.google.com/?cid=13727323688890617063,"2-chōme-6-6 Kōraibashi, Chuo Ward, Osaka, 541-0043, Japan"
fav TOKYO NISHINIPPORI,050-1793-9805,https://maps.google.com/?cid=15137757020102169621,"5-chōme-31-6 Nishinippori, Arakawa City, Tokyo 116-0013, Japan"
Grand Hyatt Tokyo,03-4333-1234,https://maps.google.com/?cid=10747951827964159153,"6-chōme-10-3 Roppongi, Minato City, Tokyo 106-0032, Japan"
Hotel Gracery Osaka Namba,06-7639-9933,https://maps.google.com/?cid=2412365023949380360,"1-chōme-4-4 Motomachi, Naniwa Ward, Osaka, 556-0016, Japan"
Daiwa Roynet Hotel Hakata-Gion,092-281-3600,https://maps.google.com/?cid=11916223501428610441,"Japan, 〒812-0038 Fukuoka, Hakata Ward, Gionmachi, 1−２４ １Ｆ"
HOTEL THE FLAG Shinsaibashi,06-6121-8111,https://maps.google.com/?cid=6462968384428424306,"1-chōme-18-30 Higashishinsaibashi, Chuo Ward, Osaka, 542-0083, Japan"
Beach Hotel Sunshine,0980-82-8611,https://maps.google.com/?cid=13116992157424176030,"2484 Arakawa, Ishigaki, Okinawa 907-0024, Japan"
Cross Hotel Kyoto,075-231-8831,https://maps.google.com/?cid=18068649322385535210,"71-1 Daikokuchō, Nakagyo Ward, Kyoto, 604-8031, Japan"
Shibuya Stream Hotel,03-3406-1090,https://maps.google.com/?cid=12241045898322553148,"3-chōme-21-3 Shibuya, Tokyo 150-0002, Japan"
The OneFive Osaka Namba Kuromon,0570-014-215,https://maps.google.com/?cid=2605689149812315770,"1-chōme-20-6 Nipponbashi, Chuo Ward, Osaka, 542-0073, Japan"
Osaka Marriott Miyako Hotel,06-6628-6111,https://maps.google.com/?cid=6479886573529209182,"1-chōme-1-43 Abenosuji, Abeno Ward, Osaka, 545-0052, Japan"
MIMARU TOKYO SHINJUKU WEST,03-6258-1512,https://maps.google.com/?cid=15607418906888136225,"3-chōme-3-11 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
THE BLOSSOM KYOTO,075-754-8735,https://maps.google.com/?cid=14416140010948788850,"１４０番地２ Manjūjichō, Shimogyo Ward, Kyoto, 600-8104, Japan"
Ishigaki Seaside Hotel,0980-88-2421,https://maps.google.com/?cid=10762693875579906727,"154-12 Kabira, Ishigaki, Okinawa 907-0453, Japan"
Tokyu Stay Hakata,092-431-1091,https://maps.google.com/?cid=12494919495901234971,"1-chōme-11-11 Hakataekiminami, Hakata Ward, Fukuoka, 812-0016, Japan"
RIHGA PLACE Kyoto Shijokarasuma,075-342-1121,https://maps.google.com/?cid=18070534316656448081,"551 Sannōchō, Shimogyo Ward, Kyoto, 600-8424, Japan"
Four Seasons Hotel Tokyo at Otemachi,03-6810-0600,https://maps.google.com/?cid=17324430762746634398,"1-chōme-2-1 Ōtemachi, Chiyoda City, Tokyo 100-0004, Japan"
Smile Hotel Premium Osaka Hommachi,06-6261-7255,https://maps.google.com/?cid=2783867328360014073,"2-chōme-8-6 Minamisenba, Chuo Ward, Osaka, 542-0081, Japan"
the b hakata,092-415-3333,https://maps.google.com/?cid=16126559692814198127,"1-chōme-3-9 Hakataekiminami, Hakata Ward, Fukuoka, 812-0016, Japan"
Kobe Sannomiya Tokyu REI Hotel,078-291-0109,https://maps.google.com/?cid=8129755573400773413,"6-chōme-1-5 Kumoidōri, Chuo Ward, Kobe, Hyogo 651-0096, Japan"
"The Prince Gallery Tokyo Kioicho, a Luxury Collection Hotel",03-3234-1111,https://maps.google.com/?cid=11289201175564781058,"1-2 Kioichō, Chiyoda City, Tokyo 102-8585, Japan"
Southwest Grand Hotel,098-860-0421,https://maps.google.com/?cid=8560163016723193244,"Japan, 〒900-0015 Okinawa, Naha, Kumoji, 3-chōme−29−５２ Southwest Grand Hotel"
The Westin Yokohama,045-577-0888,https://maps.google.com/?cid=6723883077020572600,"4-chōme-2-8 Minatomirai, Nishi Ward, Yokohama, Kanagawa 220-0012, Japan"
Hotel Intergate Tokyo Kyobashi,03-5524-2929,https://maps.google.com/?cid=12616451938177458332,"Japan, 〒104-0031 Tokyo, Chuo City, Kyōbashi, 3-chōme−7−８ ホテルインターゲート東京"
Toyoko Inn Hokkaido Sapporo-eki Nishi-guchi Hokudai Mae,011-717-1045,https://maps.google.com/?cid=3819136246872512416,"4-chōme-22-7 Kita 8 Jōnishi, Kita Ward, Sapporo, Hokkaido 060-0808, Japan"
Nozo Hotel,0167-23-1088,https://maps.google.com/?cid=7805860625234729899,"14-38 Kitanominechō, Furano, Hokkaido 076-0034, Japan"
